Team,Player1,Player2,Player3,Counts,Year
CLE,LeBron James,Kyrie Irving,,2,2015
GSW,Stephen Curry,,,1,2015
OKC,Kevin Durant,,,1,2015
CHI,Derrick Rose,,,1,2015
LAL,Kobe Bryant,,,1,2015
SAS,Tim Duncan,,,1,2015
NYK,Carmelo Anthony,,,1,2015
MIA,Dwyane Wade,,,1,2015
LAC,Blake Griffin,,,1,2015
GSW,Stephen Curry,Klay Thompson,Draymond Green,3,2016
CLE,LeBron James,Kyrie Irving,,2,2016
LAL,Kobe Bryant,,,1,2016
OKC,Russell Westbrook,Kevin Durant,,2,2016
SAS,Kawhi Leonard,,,1,2016
CHI,Derrick Rose,,,1,2016
GSW,Stephen Curry,Kevin Durant,,2,2017
CLE,LeBron James,Kyrie Irving,,2,2017
OKC,Russell Westbrook,,,1,2017
NYK,Kristaps Porzingis,,,1,2017
CHI,Jimmy Butler,Dwayne Wade,,2,2017
MIL,Giannis Antetokounmpo,,,1,2017
HOU,James Harden,,,1,2017
GSW,Stephen Curry,Kevin Durant,,2,2018
CLE,LeBron James,,,1,2018
MIL,Giannis Antetokounmpo,,,1,2018
BOS,Kyrie Irving,,,1,2018
OKC,Russell Westbrook,,,1,2018
NYK,Kristaps Porzingis,,,1,2018
PHI,Joel Embiid,Ben Simmons,,2,2018
HOU,James Harden,,,1,2018
LAL,LeBron James,,,1,2019
GSW,Stephen Curry,Kevin Durant,,2,2019
MIL,Giannis Antetokounmpo,,,1,2019
BOS,Kyrie Irving,,,1,2019
PHI,Joel Embiid,Ben Simmons,Jimmy Butler,3,2019
HOU,James Harden,,,1,2019
OKC,Russell Westbrook,,,1,2019
LAL,Lebron James,Anthony Davis,,2,2020
DAL,Luka Doncic,,,1,2020
BOS,Jayson Tatum,Kemba Walker,,2,2020
MIL,Giannis Antetokounmpo,,,1,2020
GSW,Stephen Curry,,,1,2020
POR,Damian Lillard,,,1,2020
LAC,Kawhi Leonard,,,1,2020
MIA,Jimmy Butler,,,1,2020
LAL,Lebron James,,,1,2021
MIL,Giannis Antetokounmpo,,,1,2021
BKN,Kevin Durant,James Harden,Kyrie Irving,3,2021
DAL,Luka Doncic,,,1,2021
BOS,Jayson Tatum,,,1,2021
PHX,Devin Booker,,,1,2021
GSW,Stephen Curry,,,1,2021
POR,Damian Lillard,,,1,2021
LAL,Lebron James,,,1,2022
PHI,James Harden,Joel Embiid,,2,2022
GSW,Stephen Curry,,,1,2022
BKN,Kevin Durant,Kyrie Irving,,2,2022
BOS,Jayson Tatum,,,1,2022
MIL,Giannis Antetokounmpo,,,1,2022
DAL,Luka Doncic,,,1,2022
MEM,Ja Morant,,,1,2022
LAL,Lebron James,,,1,2023
GSW,Stephen Curry,,,1,2023
BOS,Jayson Tatum,,,1,2023
MIL,Giannis Antetokounmpo,,,1,2023
DAL,Luka Doncic,Kyrie Irving,,2,2023
PHX,Kevin Durant,Devin Booker,,2,2023
MEM,Ja Morant,,,1,2023
POR,Damian Lillard,,,1,2023
